KB2PSUN|Otherwise form two.
PS01V|If you want to go to Skeggy it's a lot.
PS01T|Well what's the rush.
PS01V|Yeah.
PS01U|You know like Scarborough it's dearer.
PS01V|Yeah.
PS01U|for there.
PS01V|That's right.
PS01U|it really is top mark int it.
PS01V|Ah yeah.
PS01T|Yeah.
PS01V|Yeah.
PS01U|D' ya know what I mean He's.
PS01V|Yeah.
PS01U|he is nearer that way than us.
PS01V|Mm.
PS01U|or summat to Scarborough and that.
PS01V|Mm.
PS01U|I says erm yo it'd be cheaper to go bed and breakfast So he says.
PS01V|Yeah.
PS01U|yeah but it won't be as convenient with baby like.
PS01V|Well they can relax and have their meals when they want get up when they.
PS01U|Yeah.
PS01V|want and if their baby wakes at night they can just go.
PS01U|Yeah.
PS01V|and see to it can't they.
PS01U|I says I think this year you'd be better off stopping at home.
PS01V|Mm.
PS01U|I says because er you know with him like working so he's he's having a week off with.
PS01T|Yeah.
PS01U|baby int he I said and th erm.
PS01V|Mm mm.
PS01U|and go out and that if you want to come down for a couple of days.
PS01V|Mm.
PS01U|You know I think erm rather than they paying all that money for a caravan.
PS01V|Yeah.
PS01U|So mind you they're on about getting their own car.
PS01V|Are they.
PS01U|He wants Orion Ghia.
PS01T|Wants.
PS01V|Oh That's the one.
PS01U|So.
PS01V|we're going for.
PS01T|Not that bad.
PS01V|work be getting done won't it behind it.
PS01U|So I says what we might do we might buy his off him Cos it's.
PS01V|Mm.
PS01U|not got a lot of miles on.
PS01V|Oh.
PS01U|It's only got about twelve thousand miles.
PS01V|Has he Were it new.
PS01U|F reg Fiesta it is.
PS01V|Can they do that then Can you sell that Isn't it firm's.
PS01U|No No.
PS01V|Oh I see.
PS01U|It's alright.
PS01V|It's his own Ah.
PS01U|Yeah It's er F reg Fiesta.
PS01V|Is it.
PS01U|One point four sport it is It's a.
PS01V|Mm mm.
PS01U|lovely car.
PS01V|Mm.
PS01U|It's got all extras in the lot you know the.
PS01V|Mm.
PS01U|and er.
PS01V|Well it's big enough a Fiesta for you anyway.
PS01U|Well he ta.
PS01V|Int it.
PS01U|he I should of thought it were big enough for them but he said.
PS01V|Yeah.
PS01U|when he says when they come down he said it's loadened with all our stuff.
PS01U|He says so when we get baby seat on back.
PS01V|Yeah as well Yeah.
PS01U|And then all baby's stuff he said.
PS01V|Well they've got a boot.
PS01U|So.
PS01V|Ah That Orion's.
PS01V|got a lovely big boot.
PS01U|Astra it is.
PS01V|hasn't it.
PS01T|Yeah.
PS01V|I drove that Orion And I went up centre with it Cos he were going somewhere with David when you over.
PS01U|Mm.
PS01V|And I went to centre.
PS01V|in it it were lovely You like it didn't you You liked the new one you don't like the first one you had.
PS01T|Aha.
PS01V|You had two Orions didn't you.
PS01T|Yeah and then the first one I.
PS01V|First one he didn't like it.
PS01T|Got a smaller horsepower weren't it.
PS01V|Mm.
PS01U|I don't know but I know he wanted it.
PS01V|about the turbo or summat.
PS01T|Weren't as good as it it weren't as good this one that I weren't as good as ours for petrol.
PS01U|Well no.
PS01V|That's just great for petrol.
PS01T|Ain't put no ain't put no petrol in mine for three weeks.
PS01U|Yeah.
PS01V|It's ever such a good car for petrol It really is.
PS01U|Yeah.
PS01V|You know like going to Cleethorpes and back how you do.
PS01U|Yeah.
PS01V|er i it's great.
PS01U|Yeah.
PS01V|for petrol.
PS01U|Well that's what you want int it.
PS01V|Mm mm.
PS01T|I fill it up.
PS01V|It's great for petrol That's it.
PS01T|And he filled up and it only cost me five to tenner a week.
PS01V|And we never walk nowhere do we Never walk even.
PS01T|No.
PS01V|at the caravan we never walk we always go in he even goes for paper in bloody car him.
PS01U|Yeah.
PS01V|You know it's only round corner in n it.
PS01U|The car.
PS01T|Well you start going for the paper and seeing how you like walking right under the.
PS01V|I don't mind it I don't mind walking round camp.
PS01T|Ha.
PS01V|I don't mind walking round camp.
PS01T|Don't you.
PS01V|I'd rather well you don't see not if you're in car all time do you.
PS01T|I do.
PS01U|No.
PS01V|You can't see anything when you're in car.
PS01U|oh it's nice to have a bit of fresh air.
PS01T|Well no you just.
PS01V|Yes.
PS01T|said you would go like.
PS01V|I wonder what time what they call it's coming for that Is it off.
PS01T|Yeah.
PS01V|Is it.
PS01T|I don't know Maybe I'll go out tonight.
PS01V|She said afternoon didn't she But.
PS01T|This is.
PS01V|she didn't come while we'd just come in from.
PS01T|It were Thursday weren't it.
PS01V|Yeah we'd just come in from town as well hadn't we.
PS01T|Yeah till about fouro'clock.
PS01V|Mm.
PS01T|Oh dear Oh dear.
PS01V|Mm mm That's got to go in that's horrible that is.
PS01T|Is it.
PS01V|Too strong.
PS01U|Oh But it's cost me over well it will have done by time I've finished putting radio in about hundred and forty pound.
PS01V|Yeah.
PS01U|But I can't cope without my radio Joyce.
PS01V|Can't you.
PS01U|Cos you think I've gone deaf.
PS01V|Mm You got er a battery rad er radio cassette or something Couldn't you put it on.
PS01U|Well they don't it don't sound the same does it.
PS01V|Don't they Ah It's better with er speakers.
PS01U|You know.
PS01V|yeah.
PS01U|Yeah I mean I've got one at home what.
PS01V|Well we listen to ours a lot though don't we.
PS01U|What my radio rel radio or er electric or I've got one at home electric or.
PS01V|Yeah.
PS01U|battery.
PS01V|Yeah.
PS01U|But I thought oh.
PS01V|Oh.
PS01T|Well anyway do.
PS01U|I might as well.
PS01T|if you just leave it stuck out stuck outside somebody's liable to break in aren't they if they see.
PS01U|Yeah.
PS01T|like that.
PS01U|So I thought well I got it kind a three year haven't I.
PS01V|Mm.
PS01U|Don't change.
PS01V|Have you.
PS01U|it for three year.
PS01V|Well in any case when you.
PS01U|So.
PS01V|when you take it you take that off don't you.
PS01U|Yeah I said to.
PS01V|In that case.
PS01U|David if I'd have known I'd have took wha other one out.
PS01V|Ooh You could of couldn't you.
PS01U|I'd take other one.
PS01V|Yeah You could of done couldn't you.
PS01U|Cos it were a good'un that.
PS01V|Ah What a shame.
PS01U|But I mean I didn't know they were all coming But apparently what's happened is.
PS01V|Didn't even know you were gon na be getting another one.
PS01U|in January the she were telling me they delivered hundred and fifty nine new cars.
PS01T|Mm.
PS01U|New Metros.
PS01V|Yeah.
PS01U|So they must have done them a de done a deal of whole lot.
PS01T|Yeah.
PS01U|cos they were.
PS01V|Mm.
PS01U|bigger engines than others what we had.
PS01V|Yeah but you actually know that they weren't gon na have a.
PS01T|Are they.
PS01V|radio cassette in there did you.
PS01U|They have engines.
PS01T|Ah They'd be better engines a better.
PS01U|Yeah.
PS01T|car then won't they.
PS01U|Eleven hundred yeah Oh yeah.
PS01T|Yeah.
PS01V|Oh.
PS01U|So well they must have like done a deal and said right we'll not put radios in or summat you know we'll.
PS01T|Yeah.
PS01V|Oh.
PS01U|do without so I thought oh well.
PS01V|Will it be yours now when you when you take it in do you take that out don't you.
PS01U|Mm Mm.
PS01V|So.
PS01U|I will.
PS01V|Yeah.
PS01T|Sometimes.
PS01U|I've.
PS01T|they don't tell you though do they when they come to change them do they.
PS01U|No.
PS01T|That's a very snidey that isn't it.
PS01U|They come Tuesday before you know You know when I were up at Darren's.
PS01T|Mm.
PS01U|I mean if I'd have been If I'd have know I could of coming back down cos Bill came back down to work Tuesday.
PS01V|Yeah.
PS01U|and I stuck it up here then when it comes through they brought the car on the Tuesday.
PS01V|Yeah.
PS01U|when I were up at Darren's Cos she told me when she came.
PS01V|Oh.
PS01U|She said I brought it last Tuesday.
PS01V|Oh.
PS01U|she said and you weren't here.
PS01V|Oh did she.
PS01U|Mm.
PS01U|So and they rang up Darren ra er he rang me up Monday morning and he says can you get in office for half past ten I says yeah He said they've just rang up they're bringing your car.
PS01T|It's alright that's.
PS01V|You know I don't know what I've done with that.
PS01T|It's alright in the.
PS01V|photograph.
PS01T|background there.
PS01V|Do you know I'm ever so mad about it Cos I.
PS01U|What.
PS01V|I should look after my bills.
PS01U|For what.
PS01T|Oh oh.
PS01V|For that curtain.
PS01T|Well what did you want it for.
PS01U|Well you've still got price ticket on haven't you.
PS01V|I never even touched it.
PS01U|So well the price ticket will still be on.
PS01V|Everything's well I've not touched.
PS01U|Well that's not there.
PS01V|it it's still as it was actually.
PS01U|Yeah They're.
PS01V|Yeah.
PS01U|not bothered as long as.
PS01V|Twenty one ninety.
PS01U|the price thing is still here.
PS01V|Where do you want.
PS01T|You worry too much for it'll be alright.
PS01U|Mm.
PS01V|He said don't if you look after it you know it's a does the colour change in it And he said yeah if you look after it.
PS01U|Ah Yeah.
PS01V|keep the cardboard inside you.
PS01U|Yeah.
PS01V|know But we haven't even.
PS01V|opened it But like he said and yo and your bill your receipt and I've forgo I've lost the bloody receipt.
PS01U|It's not in bag is it.
PS01T|No.
PS01V|Mm.
PS01U|Not in bag.
PS01V|No I've looked in the bag I don't know what I've do cos I don't I keep my receipts.
PS01U|It were that skirt weren't it I mean we found it after I took it back.
PS01V|Yeah Yeah.
PS01U|So it's my mam's birthday soon Yeah This time.
PS01T|See that.
PS01U|I'll get money.
PS01T|Well she's got bills from for Gateway and I mean who says.
PS01V|Oh I'm just looking at bottom of my bag there there was there was bills from Gateway that was from last year You know my shopping bag.
PS01U|Yeah.
PS01V|My my cloth shopping.
PS01U|Yeah.
PS01V|shopping bag There was all these bills in the bottom from Gateway I said look here.
PS01U|Mm.
PS01V|from Gateway.
PS01U|Yeah.
PS01V|And I threw them I just cleared it out and threw them away yesterday.
PS01U|We go to Morrisons now It's brilliant there.
PS01V|Is it.
PS01U|Mm.
PS01V|Mm Don't you go to Kwik Save Kwik Save's quite good.
PS01U|Er I go to Kwik Save and I come back.
PS01V|That's really cheap.
PS01U|and there's there's nowt for a meal when I come back.
PS01V|Ah.
PS01U|You know if you went.
PS01V|Yeah.
PS01U|to.
PS01V|Yeah.
PS01U|Morrisons and.
PS01V|Yeah.
PS01U|like.
PS01V|you come back without your stuff I mean.
PS01U|especially.
PS01V|we're like that aren't we.
PS01U|you know like the fridge it's full of food.
PS01V|Mm.
PS01U|like a su like I get my cooked meats and.
PS01V|Mm.
PS01U|quiche and all my salads.
PS01V|Mm.
PS01U|and stuff I get all my veg.
PS01V|Mm.
PS01U|and then er like they do Kentucky Fried Chicken in here sixty five pence Joyce It's like.
PS01V|Mm.
PS01U|that Like.
PS01V|Mm.
PS01U|half a chicken All breast.
PS01V|Mm mm.
PS01U|Er sixty five for breast and I think they're about fifty for the legs But they're they're done in that lovely savory batter stuff you know what I mean.
PS01V|Mm.
PS01U|They're all cooking while you're there.
PS01V|Ah yeah.
PS01U|So like I'll fetch them like for us dinner.
PS01V|Mm.
PS01U|and er tt you know what I mean the fri fridge is full.
PS01T|Yeah.
PS01U|And.
PS01V|Yes.
PS01U|like I put my.
PS01V|Stuff to go out.
PS01U|put my meat in freezer let get it for week.
PS01V|Mm.
PS01U|you know what I mean and put.
PS01V|Mm.
PS01U|in there.
PS01V|Mm.
PS01U|Whereas like if I'm out at least I get a bus down go into to Kwik Save.
PS01V|Mm.
PS01U|there's nowt for a meal you've still got to go to Coplands.
PS01V|Mm.
PS01U|and buy all the.
PS01V|Yeah.
PS01T|Yeah.
PS01U|stuff and in butchers and.
PS01V|Well even when you go to Kwik Save yo I mean you come out and you've got to come out to get meat cos in a.
PS01U|Mm.
PS01V|different thing.
PS01U|Mm.
PS01V|you've got to pay for your vegetables.
PS01U|Yeah.
PS01V|as you go around don't you.
PS01U|I know.
PS01V|You know what I mean.
PS01U|So I mean like.
PS01V|I like buying stuff from the market.
PS01U|a lot of the stuff.
PS01V|I get all my.
PS01U|a lot of the stuff's cheap cheaper at Kwik Save.
PS01V|Yeah I mean ten oranges for fifty P yesterday.
PS01U|I know.
PS01V|Ten For fifty P I mean that's absolutely.
PS01U|So.
PS01V|fantastic that int it.
PS01U|Yeah.
PS01V|for I mean.
PS01U|Well it's.
PS01V|I thought it were only.
PS01U|I get them off of my.
PS01V|thirty P yeah Coxes And pears were only twenty five.
PS01U|Yeah I mean last week my barrow were absolutely loadened up.
PS01V|Mm.
PS01U|and it were fifty five pound.
PS01V|Mm.
PS01U|We bought loads of stuff I got.
PS01V|Mm.
PS01U|erm a lovely piece of middle leg pork for Sunday there were erm a piece of turkey breast a bit like a joint.
PS01V|Mm.
PS01U|you know with all the skin put round.
PS01V|Mind you that's good for fifty five pound in n it.
PS01U|No but like Bill he'll go down to Tescos.
PS01V|Mm.
PS01U|right.
PS01V|Mm.
PS01U|Then go to Coplands then to go to market.
PS01V|Mm.
PS01U|and erm I leave him about eighty quid cos there's six of us.
PS01T|Yeah.
PS01V|Mm.
PS01U|and yet he comes back and there's nowt for a meal and there's hardly any change It's true.
PS01V|Ah ah ah God.
PS01U|It is Like there's two hundred and sixty with that.
PS01T|Oh yes.
PS01U|But like and then I have to go again on Tuesday to Tesco.
PS01V|Yeah.
PS01U|I go again Tuesday.
PS01V|Tesco's dear.
PS01U|So we have.
PS01V|Tesco's dearer than Kwik Save.
PS01U|Yeah.
PS01V|int it Well I think it is anyway.
PS01U|Oh it is Joyce.
PS01V|Mm mm.
PS01U|It is But.
PS01V|But I do love the bacon from there Th you know the.
PS01U|But it.
PS01V|bacon that you.
PS01U|Yeah.
PS01V|to cook You know er.
PS01U|Yeah.
PS01V|to slice.
PS01U|Oh it's so nice.
PS01V|beautiful.
PS01U|Yeah.
PS01V|So tasty.
PS01T|Yeah.
PS01V|I've never had anything better.
PS01U|You know what I got.
PS01V|that.
PS01T|Er yep.
PS01U|And Bill had cooked it last night and it were really nice I bought it last week You know Bill always goes down on a Tuesday.
PS01V|Mm.
PS01U|and there were a big family meat pie and it had.
PS01V|Mm.
PS01U|been one fifty nine I think or one ninety nine they'd got a special price.
PS01V|Mm.
PS01U|ninety nine pence.
PS01V|Mm.
PS01U|Anyway I thought ooh I'll get that And put it in freezer.
PS01V|Mm.
PS01U|Cos Bill can't cook you know he's a terrible cook.
PS01U|And er I thought oh he's only got to put that in oven.
PS01V|Mm.
PS01U|you know I'll I'll buy Morrisons' frozen chips they're lovely their chips.
PS01V|Mm.
PS01U|And so all he's got to do he can't spoil it.
PS01V|Mm.
PS01U|And er anyway when I got in from work last night he'd done carrots sprouts cabbage mashed potatoes and he'd done this pie.
PS01V|Mm.
PS01U|And it were right nice and he'd done some lovely onion gravy.
PS01V|Mm mm.
PS01U|Couldn't believe it.
PS01V|Mm.
PS01U|Cos Monday.
PS01V|Is that Morrisons that's er opposite Nettows at.
PS01U|Anthorpe it is int it.
PS01T|No that's Grandways.
PS01V|Oh Grandways ah yeah.
PS01U|And erm.
PS01V|There int a Morrisons round here is there.
PS01T|I don't know.
PS01U|No I ain't seen one.
PS01V|The nearest Morrison is down erm.
PS01T|No idea duck.
PS01V|going down towards er when I used to go down towards.
PS01U|Walthe er down er near Bath that way What you.
PS01T|Yeah.
PS01V|call it.
PS01U|I don't know I know nearest to us it's erm tt you know where we used to.
PS01U|work at Bramley You know when we used to work go to Southern Trust they built a new big new Morrisons there didn't they.
PS01V|Oh It er.
PS01U|Next to Macros.
PS01V|Yes.
PS01U|No Bramley When we used to go to Southern Trust We used to go to.
PS01V|Southern Trust.
PS01U|Faircroft didn't we To office.
PS01V|Yes Yeah Faircroft.
PS01U|Mm Well you know by those garage we used to use.
PS01V|Ya.
PS01U|well.
PS01V|Yeah.
PS01U|it's in there.
PS01V|Ah yeah.
PS01U|Well I used to go to that one.
PS01V|Ah yeah.
PS01U|And then.
PS01V|There was one there.
PS01U|they've built a.
PS01V|Mm.
PS01U|another one at Retail World You know Parkgate.
PS01V|Mm mm Mm.
PS01U|They've built another big'un there.
PS01V|Mm.
PS01U|So I go there now to.
PS01V|Mm.
PS01U|that one Cos it's.
PS01V|Ah yeah.
PS01U|nice you know.
PS01V|Mm Mm.
PS01U|But erm Morrisons on Monday er Bill he'd er cooked fish er er there was some frozen fish what I'd got him like.
PS01V|Mm.
PS01U|Tough as hell it were.
PS01U|Chips with them Morrisons' chips and they are really lovely but he'd left them in.
PS01V|Mm.
PS01U|too long so they're too crisp.
PS01V|Ah.
PS01U|The peas well they were like bullets.
PS01T|Yeah.
PS01U|The frozen peas but and he says said what he'd done he'd.
PS01V|Mm.
PS01U|put them in.
PS01V|Yeah.
PS01U|instead of putting them on to cook put them in to defrost.
PS01V|Oh.
PS01U|So by the time he'd sort of looked and it were defrosting.
PS01V|Yeah.
PS01U|they're not as nice if you defrost frozen peas and then cook them are they.
PS01V|No you're supposed to cook them from frozen.
PS01U|You know so they were like they were like bullets.
PS01V|Yeah.
PS01U|So the fish were horrible.
PS01V|Mm.
PS01U|The chips were so crisp and dry and then then and yet last night.
PS01V|He did all that.
PS01U|Yeah And i and it were lovely.
PS01V|Yeah Sure your Nicola are you sure your Nicola didn't do it What do you say he did.
PS01U|Last night.
PS01V|Mm mm.
PS01U|He did mashed potatoes.
PS01V|Mm.
PS01U|cabbage savoy cabbage carrots and he'd cu cut them like I always cut them cos they were only them little baby carrots so what I do I slice them down.
PS01V|Yeah.
PS01U|you know down middle like.
PS01V|Yeah.
PS01U|into quarters so I do them longer.
PS01V|Yeah.
PS01U|and he'd done them like that in microwave for eight minutes and er done sprouts then he'd put this meat pie in oven.
PS01V|Crikey.
PS01U|and er done onion gravy.
PS01V|Mm mm.
PS01U|I says ooh this gravy's lovely.
PS01V|Yeah.
PS01U|He says er yeah he said I did some onion and then I got some of them you know.
PS01V|Granules.
PS01U|yeah put some of that in.
PS01V|Mm.
PS01U|he says I put a bit a Italian mixed herbs in middle of meat pie in my hand put them.
PS01V|Mm.
PS01U|and a bit of Bovril And it were lovely.
PS01V|Done that done all that.
PS01V|God.
PS01V|Yeah.
PS01V|And was that meat pie alright.
PS01U|It was it were lovely.
PS01V|Sometimes you get them and they're not very nice are they.
PS01T|No.
PS01V|But I tell you what we've got fish.
PS01U|But we don't have meat pie us cos we don't normally.
PS01V|No.
PS01U|it's the gristle on it it's that tinned meat but that were.
PS01V|Yeah.
PS01U|mince Joyce.
PS01V|Yeah.
PS01U|It were mince.
PS01V|Yeah We got some nice fish from er Kwik Save It was was it Bird's Eye Alec And there was I just.
PS01V|got a packet of.
PS01T|I don't know.
PS01V|two in to try it.
PS01U|Yeah.
PS01V|were lovely weren't it Really lovely white meat.
PS01T|Oh ah yeah.
PS01U|that we've had for a while.
PS01V|We got it last week cos we finished.
PS01U|Nice.
PS01V|our fish from Cleethorpes now and we're ready for going again to get some more.
PS01U|But you see what he'd done he'd he'd had it out a freezer since fouro'clock since he come in.
PS01V|Oh.
PS01U|from work.
PS01V|Ah.
PS01U|Well I didn't get in till half six so by time he'd put them.
PS01V|Ah.
PS01U|in.
PS01V|Yeah.
PS01U|supposed to cook from frozen aren't you.
PS01V|Yeah you're better cooked from frozen.
PS01U|You know.
PS01V|Yeah they are.
PS01U|cos once they've thawed they go soft.
PS01V|Yeah.
PS01U|do they They were disgusting.
PS01V|I it's different if you have it raw if you ha you buy.
PS01U|Yeah.
PS01V|the raw fish.
PS01U|Yeah.
PS01V|and we have to put it out to so till we've thawed because.
PS01U|Yeah.
PS01V|it has water in it like doesn't.
PS01U|Yeah.
PS01V|it And then you get the water all.
PS01U|So.
PS01V|Yeah.
PS01U|But I thought well I.
PS01T|Well he tried what more do you want.
PS01V|Well yeah.
PS01T|He doesn't though he doesn't he just bungs everything in know.
PS01V|Yeah.
PS01T|what I mean.
PS01V|Er really we're better off.
PS01U|But last night.
PS01V|er wa bringing them er.
PS01U|it were lovely meal.
PS01V|do them on on er full power in microwave.
PS01U|The peas.
PS01V|and then mm and then.
PS01U|That's what he normally does but he had said.
PS01V|and then put them on five minutes defrost.
PS01U|he says it were broke microwave He said I know I put it on full power I know I didn't put it on to defrost.
PS01U|I know I didn't He says it's.
PS01U|broke.
PS01U|So I cleared it press power level and.
PS01V|Yeah.
PS01U|nine and it come.
PS01V|Yeah.
PS01U|up.
PS01V|Yeah.
PS01U|He said but said that he'd pressed he didn't.
PS01V|Yeah.
PS01U|press defrost and he.
PS01V|Yeah.
PS01U|pressed power level nine.
PS01V|Oh well.
PS01U|You know but.
PS01V|He weren't to it.
PS01U|He weren't.
PS01U|He won't.
PS01V|Yeah.
PS01U|He said microwave's broken There's me you silly bugger.
PS01V|Yeah.
PS01U|Well it's insured I've insured it for twelve.
PS01V|Yeah.
PS01U|months but it'll not cost.
PS01V|Yeah.
PS01U|us owt.
PS01V|Yeah.
PS01U|And er oh I'll just try it so I.
PS01V|Mhm.
PS01U|so I put peas back in.
PS01V|Nowt wrong with it.
PS01U|No No Pressed wrong button.
PS01T|It's easy done.
PS01U|alright.
PS01V|Yeah.
PS01U|It's only him can do it like.
PS01U|Oh eh You know what he did last night Run over a dog.
PS01V|Ooh.
PS01U|Bill come out er a here with car you know you could round with pub.
PS01T|Yeah.
PS01U|comes round here this this dog just shot out and hit car.
PS01V|Oh.
PS01U|anyway it'd done something to its leg.
PS01V|Did it.
PS01U|Yeah Lad come out and he said it's it's hurt his leg.
PS01V|Mm.
PS01U|So Bill says well I you know it just shot out.
PS01V|Just can't help it.
PS01U|didn't even see it like.
PS01V|I mean look at me I were going down Dunscroft there you know at top of and er I'm just driving in along and this bloody dog come over.
PS01U|Mm.
PS01V|straight in fron come straight in front of my car like that and I missed that one but then the other one come.
PS01U|Mm.
PS01V|There were two together I had no chance.
PS01U|And I know.
PS01V|but it.
PS01U|had the one before it were it were wrapped around chassis underneath It were screaming.
PS01V|Mm.
PS01U|it were still alive.
PS01V|Oh eh.
PS01U|They had to give me a brandy I were in a right state me.
PS01V|Oh Yeah.
PS01U|They took me in this bungalow.
PS01V|Mm.
PS01U|anyway what had happened dog had shot out.
PS01V|Mm.
PS01U|weren't Bill's fault.
PS01V|No You can't oh you can't help it it's like.
PS01U|and er anyway.
PS01V|this one.
PS01U|Bill rang police up and he says oh he said I've just run over a dog He says only one.
PS01V|Mm.
PS01U|Oh He says try and get a few more.
PS01V|Mm.
PS01U|He says they shouldn't be out He says they cause more.
PS01V|It's true.
PS01U|er damage.
PS01V|It's true I mean they shouldn't.
PS01T|Mm.
PS01V|let them you know run like loose should.
PS01U|No.
PS01V|they er when people a you know on main road.
PS01U|No.
PS01V|In fact they shouldn't let them cos they don't know where their dogs are gon na go do they.
PS01U|No They're not bothered are they.
PS01V|No It's their.
PS01U|Well.
PS01V|dogs and then they get.
PS01U|anyway.
PS01V|upset when they get run over.
PS01U|he's on about dog's leg being bad and Bill's had a look see if he's dented car cos he'd just.
PS01V|Ah.
PS01U|fetched it.
PS01V|Aye.
PS01U|back.
PS01V|Ah.
PS01U|No But he were shook up when he come in.
PS01V|Yeah.
PS01U|In fact he didn't know whether it were a child he says you don't know when it's dark.
PS01T|No.
PS01V|No.
PS01U|And it just sho you know.
PS01V|No you don't No.
PS01U|went in front Anyway.
PS01V|No it's.
PS01U|I'd better go and get some work done Joyce.
PS01V|Well it does well.
PS01U|Cloudy.
PS01V|well the sun's come out for you now.
PS01U|Yeah.
PS01V|so.
PS01U|See you again love.
PS01T|Tarrah.
PS01V|No.
PS01T|See you next week.
PS01U|Yeah.
PS01V|Urgh Urgh.
PS01T|Well that Metro will be alright if it's be bigger engine won't it.
PS01V|She said it's brilliant.
PS01T|Yeah.
PS01V|She says it's good But I don't like the look of it.
PS01T|Don't you.
PS01V|No I don't like look of it.
PS01T|Sounds alright from here.
PS01V|Yeah it does Sounds alright.
