KBBPSUN|I think it was taken in the July fortnight.
KBBPSUN|Too true.
PS03T|Well.
PS03T|I mean I've we're always breaking the blooming things.
KBBPSUN|Things Ye well you've got too.
KBBPSUN|Yeah.
KBBPSUN|many you do.
PS03T|You do I mean you broke one of my best wine glasses the other day.
KBBPSUN|Yeah.
PS03T|One day so you.
PS03S|But.
PS03T|bought it.
PS03S|it slipped Er you're only supposed to drink.
PS03T|I said to him where's my wine glass.
KBBPSUN|Yeah.
PS03S|Yes but when you're working like and you.
PS03T|Next thing I knew I heard a crash.
KBBPSUN|Crash.
PS03S|when you're bricklaying and gardening all the works.
KBBPSUN|That's why I just keep my old ones up there that we use every da er you know.
PS03T|Well I.
KBBPSUN|and I've got my best all in the sideboard.
PS03T|I'd got some.
KBBPSUN|cupboard.
KBBPSUN|I'd got some old but we broke all the old ones so we're having to use the best.
KBBPSUN|Yeah.
PS03S|She always told.
KBBPSUN|Yeah.
PS03S|me that when visitors come you you gi you give them the.
KBBPSUN|Give them.
PS03S|old ones in case they.
PS03T|No I don't.
PS03S|drop them.
PS03T|Don't stir.
KBBPSUN|Oh dear.
PS03S|No but when you're at work Madge er bricklaying and er filing your hands are rough now they're like.
KBBPSUN|Yeah.
PS03S|silk.
KBBPSUN|Yeah And they slip.
PS03S|I pick something up.
KBBPSUN|Yeah.
PS03S|and being eighty.
KBBPSUN|It slips.
PS03S|two as well you.
KBBPSUN|Slip.
PS03S|can't afford.
KBBPSUN|Yeah.
PS03S|to still.
KBBPSUN|Yeah Oh well Well that's what I do.
PS03S|And you sold half your ring and all didn't you want to cut up.
PS03T|Oh yes Well they made such a mess of this ring.
PS03S|Then when.
KBBPSUN|Are you had a new one I know you.
PS03T|I lo no.
KBBPSUN|Not yet.
PS03T|I haven't got my wedding ring on yet.
KBBPSUN|Oh have you.
PS03T|No.
KBBPSUN|No.
PS03T|Because we got that off Because.
KBBPSUN|Yeah.
PS03T|the minute I saw what a mess she'd made.
KBBPSUN|Oh.
PS03T|of the engagement ring She had about three tries nicks.
KBBPSUN|Ridiculous int it.
KBBPSUN|Ah You were lucky they ne.
PS03T|And I said I think I think you'll get my wedding off without cutting it So she got a bit more soft soap.
PS03S|all that.
PS03T|so.
PS03S|Ka er Madge.
KBBPSUN|Mm What is it.
PS03S|Er you'll you'll make it rough like.
KBBPSUN|What is it.
PS03T|And er it's my.
KBBPSUN|Oh.
PS03T|microphone.
KBBPSUN|Ooh.
PS03T|And er.
KBBPSUN|Oh and you you were saying you.
PS03T|I got the.
KBBPSUN|you're doing it.
PS03T|Yeah.
KBBPSUN|while we Oh.
PS03T|Yeah.
KBBPSUN|heck I didn't realise that.
PS03T|Well that's the best thing yo you shouldn't er you don't have to be aware.
KBBPSUN|Oh You ought to have told me.
KBBPSUN|Well just.
PS03T|And er.
KBBPSUN|said anything.
PS03T|So they got my wedding ring off but I still can't get it on.
KBBPSUN|How awful.
PS03S|But they erm it's really.
KBBPSUN|Mind you it's still.
PS03T|Mind you it's not.
KBBPSUN|swollen.
PS03T|It's.
KBBPSUN|Yeah it's still swollen.
PS03T|you.
KBBPSUN|Yes.
PS03T|just down there.
KBBPSUN|Oh it'll be a.
PS03S|But er.
KBBPSUN|long time.
PS03T|You know when yours when was swollen er.
KBBPSUN|Mind you that's where I forget I I know my fingers look like black puddings.
PS03T|Ooh mine look terrible.
PS03S|Yeah.
KBBPSUN|you know I thought ooh.
PS03T|I couldn't always swi I couldn't even switch a light till.
KBBPSUN|No.
PS03T|last week.
KBBPSUN|You couldn't.
PS03S|No.
PS03T|But er.
KBBPSUN|No.
PS03S|since you done it we've been looking in jewellers' shops when I go I go up town twice a week with her you know carry all the bags and er we're looking in the jewellers' shop and some old some lady stood there and she were looking I says come on they don't wear marriage ri wedding rings there.
PS03S|You ought to have seen the old girl.
PS03T|No but cos there there it feels a bit.
PS03T|bit funny.
KBBPSUN|Does it.
PS03T|Cos then there's nothing.
KBBPSUN|Yeah.
PS03T|that you know no circulation there.
KBBPSUN|Yeah.
KBBPSUN|Ah.
KBBPSUN|Ah.
PS03T|In that side of my thumb.
KBBPSUN|It's cold It's cold.
PS03T|Just outside of my thumb.
KBBPSUN|In your thumb.
PS03T|It's different from that side.
KBBPSUN|Ah.
PS03T|Just that bit.
KBBPSUN|Perhaps I forget you see.
PS03S|Yeah turn it straight like this.
PS03T|Right.
KBBPSUN|Mm.
PS03S|Now can you do this.
KBBPSUN|You should keep rubbing it.
PS03S|Lo look like that No Not twist that look sidewards that way that way that way.
PS03T|Mm No.
PS03S|You can't can you.
PS03T|No I can't do that.
KBBPSUN|No not do that Well the time's young yet you know for any anything like that.
PS03T|Yeah oh it is really That's it.
KBBPSUN|Oh aye it'll take.
KBBPSUN|Yes.
KBBPSUN|a long time to.
PS03T|Mm.
KBBPSUN|er.
PS03T|Oh I can I don't carry two cups I ca daren't carry a cup and saucer.
KBBPSUN|No.
PS03T|in that hand.
KBBPSUN|No.
PS03T|And one in the other.
KBBPSUN|Ooh no.
PS03T|No.
KBBPSUN|No.
PS03T|I daren't er.
KBBPSUN|No.
PS03S|But our our.
PS03T|But I can I can.
PS03S|Tom how on earth she will been round all of these do you know I've I'm like this.
KBBPSUN|I know.
PS03S|well after he's been all this while.
KBBPSUN|I told I told her time.
PS03T|Yes but half.
PS03T|the time you've got library books as well We go in the town I'm in the hairdresser.
PS03S|Yes but you won't.
PS03T|and I say we're going getting shopping only fruit and veg in the market then he comes back with about four big library books Well they weigh a ton so.
PS03S|So.
PS03T|Yes anyway.
KBBPSUN|Eve but listen when you've been out with me on a Monday I've said to you you've only had a cauliflower.
KBBPSUN|and yo apples there.
PS03T|Put it in there and.
PS03T|That was a good morning's work really Got the shopping done for the next fortnight Got a few more voices on for the tape Why I had my dinner I haven't got the same as you.
PS03S|Oh.
PS03T|I had that meat that you.
PS03S|You've got.
PS03T|didn't like yesterday and some rice.
PS03S|You've got chicken fricassee I suppose.
PS03T|No You've got shepherd's pie I can see well that meat wasn't as good as it used to usually get.
PS03S|No I I ge there was lump o.
PS03T|And yet it was.
PS03S|left and I cut it up this morning before you got up and I couldn't cut it with the scissors.
PS03T|So I've I I did some rice and ha had it but might just as well have thrown it away So I made you I'd got.
PS03S|Mm.
PS03T|some other beef What's that like.
PS03S|Yeah.
PS03T|That's alright is it.
PS03S|Mm.
PS03T|Eh Guess who rang while you were out in.
PS03S|Mm.
PS03T|the garden.
PS03S|Joan.
PS03T|George.
PS03S|Ah.
PS03T|I said oh we were only talking about you yesterday.
PS03S|What's he say.
PS03T|He says he's feeling a lot better and he's back on the road.
PS03S|Mm.
PS03T|So I shouldn't think he's been driving for some time and.
PS03S|No.
PS03T|he's back from Catherine's.
PS03S|Is he coming.
PS03T|I sa I said erm well how about coming for lunch one day Oh He said yes I will do He said erm I ca I can't make arrangements much in advance because I never know how I'm feeling.
PS03S|Mm.
PS03T|He seems to me a bit like Joan doesn't it.
PS03S|Yeah it probably is with the trauma of losing his wife.
PS03T|So er anyway.
PS03S|Yeah.
PS03T|he sa he said I'll keep in touch.
PS03S|Yeah well he's been looking after her for for years ain't he.
PS03T|Mm So e e he said I'll keep in touch And I said oh well if I don't hear from you I'll ring you again and perhaps we can arrange something So er he was going to.
PS03S|Did you so you didn't tell him I'd like him to see my paintings.
PS03T|Well I.
