KBBPSUN|What do you think to the pudding.
PS03T|didn't know what scrumping meant.
PS0YX|I yes.
PS03S|oh he said it's quite permissible.
PS0YX|oh.
PS03S|and er.
PS03T|oh well it posh people weren't it.
PS0YX|yeah.
PS03S|well I getting back to the picture you see I when I looked at it I thought good god it's our Bill I I you could of thought it were twin brothers when I.
PS0YX|I.
PS03S|looked at that you know.
PS0YX|yes.
PS03S|seeing him and then seeing him on that.
PS0YX|that's right yeah.
PS03S|and yet when it in er when say comes round or I'll go round you don't look at all that much alike.
PS0YX|no no that's right.
PS03S|but I suppose you do in a way.
PS0YX|yeah.
PS03S|you used to always say you can tell they're brothers like these.
PS0YX|that's right yeah.
PS03S|though they are sisters and.
PS0YX|yeah.
PS03S|still.
PS03T|have you got any brothers.
PS0YX|two.
PS03T|two still alive.
PS03S|what you.
PS0YX|yeah round yeah yes one in Colchester Road and one's er Bramall Road.
PS03T|mm.
PS0YX|that's just.
PS03S|have you seen the new car.
PS0YX|I what's happened when did they get that.
PS03T|ooh they came and fetched the old thing.
PS0YX|did they.
PS03T|about last Thur.
PS03S|they came about nine half past nine.
PS03T|no it wasn't it was.
PS03S|it were dark.
PS03T|it was about sixo'clock that night.
PS03S|it weren't.
PS03T|no no it was it was just after five.
PS03S|it was darky any how he couldn't see what he was doing.
PS03T|yes well it is dark at four.
PS0YX|yeah.
PS03T|because I thought Beverely would be coming home and she wouldn't be able to.
PS0YX|yeah.
PS03T|get in.
PS03S|get in.
PS03T|because the trailer and thing.
PS0YX|yes yeah.
PS03T|was loud.
PS03S|what he had what he had was a biggish lorry with a low.
PS03T|fork lift.
PS03S|back ball.
PS0YX|yeah.
PS03S|and er he'd got he we used to call them.
PS03S|that you hooked on to the back of your lorry.
PS0YX|yeah.
PS03S|like the bit the brewers do.
PS0YX|yes tip yeah yes.
PS03S|to roll the barrels down.
PS0YX|yeah.
PS03S|well what he he got a windless behind his cabin.
PS0YX|yeah.
PS03S|electric.
PS0YX|yeah.
PS03S|and he started it off and I.
PS03S|wreck creeping up on er right onto his cabin.
PS0YX|I I so it's gone.
PS03S|he he rushed off as soon as that were done.
PS0YX|right.
PS03S|whether somebody is whether complained.
PS03T|it wasn't the the proper proper people.
PS0YX|no no.
PS03S|no markings on it you know.
PS0YX|he's got another one now then.
PS03T|yes because my er my niece's husband when he came er oh they brought us back they fetched us Boxing Day and brought us back and he said it would be a right off he said.
PS0YX|mm.
PS03T|the damage to the front.
PS0YX|oh yes.
PS03T|he said I don't think they'll be able to repair that.
PS0YX|no.
PS03T|and they next day that one that came.
PS0YX|I.
PS03T|they put it on the drive for.
PS0YX|yes.
PS03T|about twice.
PS0YX|yes.
PS03T|but it's still is it's on the road again I think.
PS0YX|yes.
PS03S|he yeah I don't think he can get in all that much.
PS0YX|yes.
PS03T|he gets fed up trying to get it on the drive.
PS0YX|it by coming down.
PS03S|yeah I've just been and put.
PS0YX|yes.
PS03S|seed out.
PS0YX|oh yes.
PS03T|I is there a lot there.
PS0YX|yeah.
PS03S|twenty two we usually get.
PS0YX|yes.
PS03T|I counted twenty four you.
PS0YX|what type are they all doves are they.
PS03S|there coloured doves.
PS0YX|colour.
PS03S|As Asian coloured doves.
PS0YX|yes.
PS03S|and er the.
PS03S|is gon na build that factory at the back.
PS0YX|yes.
PS03S|he said are they your pige.
PS03T|factory.
PS03S|well it looks like a factory.
PS0YX|yeah.
PS03S|he said er.
PS03S|er are they your pigeons I said no I says er accommodation doves and they're protected he says what'd ya mean protected he says you've not got to kill them.
PS03S|er they want them to stay in England.
PS0YX|ah.
PS03S|you know and our and.
PS0YX|I.
PS03S|have our own breed.
PS0YX|where are they in the do they are they.
PS03S|well well.
PS0YX|in the trees or from around here.
PS03T|no they come from the park.
PS03S|they come from over the sh the shop way a lot of them.
PS0YX|do they I.
PS03S|I reckon they hang round there for the chips.
PS0YX|we get one or two but not as mad like that.
PS03T|oh no.
PS03S|some some might of join'em from the park but.
PS0YX|I.
PS03S|most of'em come from over there and I there's a fish shop there you see with the stuff.
PS0YX|ah.
PS03S|you know.
PS0YX|that's right.
PS03T|we get a lot of the seagulls come do you.
PS0YX|oh yeah yeah yes.
PS03S|how's Eadie any way.
PS0YX|well a little bit better but not a lot not with the chest and that so.
PS03S|with with.
PS0YX|the antibiotics not done a lot of good.
PS03S|we just half talked the other day about holidays er a I don't suppose you're going are ya.
PS0YX|not.
PS03S|no.
PS0YX|now no matter of fact I do.
PS0YX|but I weren't sure where I think it were last week it were gon na be.
PS03S|yeah.
PS0YX|or it could be this week er you know how they have the January and they have it in Haymarket.
PS03S|that's right.
PS0YX|with all with all the people in.
PS03T|yes have the ah they're still there.
PS0YX|well no they're having it in the er that one against top of the market what is it called er.
PS03S|mm.
PS0YX|that place.
PS03T|Saracens Head.
PS0YX|no the it's like er Council.
PS03T|oh County rooms.
PS0YX|County rooms.
PS03T|County rooms.
PS0YX|and it were gon na be in there Thursday.
PS03T|oh.
PS0YX|Friday Saturday.
PS03T|which week or you don't know.
PS0YX|I weren't sure whether it was last Thursday Friday or Saturday or this.
PS03T|mm or this.
PS0YX|Thursday Friday Saturday but er if I have to go up town I I'll probably go just round there.
PS03T|mm.
PS0YX|and just pop me head round and and see in case it is this week.
PS03S|mm.
PS0YX|cos I reckon Brend I'll be there.
PS03T|mm.
PS0YX|and different ones but they said all.
PS03T|I wouldn't I wouldn't mind going for a few days.
PS0YX|all the brochures are gon na be there you see.
PS03S|mm mm mm.
PS0YX|for every thing.
PS03T|I wouldn't mind going away for a few days but.
PS0YX|mm.
PS03T|it's a bit dicey this time.
PS0YX|oh now it is yes.
PS03T|yeah although you've got it.
PS0YX|yeah.
PS03T|on your chest this morning haven't you.
PS03S|ah well ah.
PS03T|where's your pull over you better put that on.
PS03S|I woke up in the night a pain here.
PS0YX|I.
PS03S|and I thought ooh any way I went to sleep again and when I got up to.
PS03S|myself.
PS0YX|yeah.
PS03S|er had the pain again and now it's going.
PS0YX|I er probably might be doing with a bit of wind indigestion stuff.
PS03S|oh I I hadn't thought of that.
PS0YX|with your food.
PS03T|no well he was a bit chesty your were got catarrh like you've a.
PS03S|I suppose you have bronchitis don't ya when you're old.
PS0YX|I mean were was it sore or burning.
PS03S|not burning er raw like raw.
PS0YX|and when you coughed it was oh well.
PS03S|yeah when you cough you know.
PS0YX|oh well.
PS03S|I had it like had it like a jab like a.
PS0YX|oh well.
PS03T|well you know what he did on Monday morning he was in the garage when he suddenly made up his mind to com to walk across to the paper shop to get a paper and he hadn't got er a jacket or any thing on all he got on was a pull over.
PS0YX|oh er well.
PS03S|well I was alright.
PS03T|and it started to drizzle a little bit didn't it.
PS0YX|yes.
PS03S|mm.
PS03T|I mean it was ridiculous.
PS0YX|but you were keeping warm by being under co in a bit of a cover you see.
PS03S|oh yeah yeah.
PS0YX|and you were going out into the.
PS03S|and it blows across like that.
PS03T|I mean I went I called to him and I thought where's.
PS03T|where's he gone.
PS0YX|yeah yeah.
PS03T|I thought you.
PS03T|off for a minute.
PS0YX|yeah.
PS03T|looked in the garage I thought well where's he gone he's not.
PS0YX|oh dear.
PS03S|did you look under the cover.
PS03T|no I didn't.
PS0YX|oh.
PS03S|mm.
PS03T|and then I was just getting worried.
PS03S|eh eh.
PS0YX|who's that.
PS03T|looks like he's got his kids today.
PS03S|it is his kids.
PS0YX|is he the one next door.
PS03S|no he's further up.
PS03T|no the.
PS0YX|oh I see.
PS03T|next one.
PS0YX|yes.
PS03T|he does make.
PS0YX|yeah yeah.
PS03T|would you like a cup of tea.
PS0YX|no no I'll I'll get back now.
PS03T|you sure you won't.
PS0YX|Evelyn cos of leaving Eadie.
PS03S|you want a drop of whisky then.
PS0YX|pardon.
PS03S|drop of whisky or any thing.
PS0YX|no no thank you Arthur any way.
PS03S|yeah.
PS0YX|use what you want.
PS03S|yeah.
PS0YX|now I mean now got'em all but if take your pick and er.
PS03S|yeah yeah yeah we've got not not the same record but the same people Strauss got one of Strauss.
PS0YX|yes.
PS03S|but I'll er.
PS0YX|sort sort out any thing you can use to help you with the tape.
PS03T|tape yes.
PS03S|you know those.
PS0YX|right and don't worry about getting'em done and getting'em back to us.
PS03S|no okay.
PS0YX|you can keep as long as you like because.
PS03S|I I I keep them alright.
PS0YX|shan't want'em for a long while.
PS03S|er the little room up there we call the music room.
PS0YX|yes.
PS03S|where we.
PS0YX|we only use we only fetch'em out about at Christmas time.
PS03S|we we never ev we never used it.
PS03T|oh we might have a oh we did at first when we first had the record player years ago didn't we.
PS03S|oh yeah what we do now I've got a a bought cabinet.
PS0YX|yeah.
PS03S|with sliding doors to keep the dust off them and that.
PS0YX|ah yeah.
PS03S|so they'll be I I put the perhaps start on them tomorrow then and get so you'll get them back.
PS0YX|this is right and as regard this an all don't worry about this.
PS03S|well.
PS0YX|plenty of time.
PS03T|tomorrow we've got to go out.
PS0YX|you can.
PS03T|if if it's.
PS0YX|there's no rush were not wanting'em.
PS03T|unless it's foggy or frosty.
PS0YX|were not wanting'em we've got one in each going so.
PS03S|yeah.
PS0YX|we've been like that a long while so a lot longer won't matter.
PS03T|we've got to go out tomorrow.
PS03S|we've got to go.
PS03T|and get some heavy shopping done.
PS0YX|ah.
PS03T|cos we haven't had the car for apart from nearly a fortnight.
PS0YX|yes right well don't let him get mucking about with these then and wasting his time.
PS03T|well I've got to get a bag of potatoes.
PS03S|well it's her.
PS03T|we always have a bag of potatoes do you.
PS0YX|milk man ran'em off.
PS03T|oh what a big bag.
PS0YX|yeah.
PS03T|oh oh no we have half hundred weight.
PS0YX|ah.
PS03S|and Jack.
PS03T|well why I do a saucepan every day.
PS0YX|yes.
PS03S|and Jack's.
PS03T|the birds have most of them.
PS0YX|that's right.
PS03S|and we get Jack in.
PS0YX|yes.
PS03T|and we usually get Jack in.
PS03S|if you ever want a bag you know.
PS0YX|er yes.
PS03S|will bring it round.
PS03T|well perhaps they don't eat many potatoes do they.
PS0YX|er not not a big.
PS03T|you having tin potatoes weren't you when Eadie was here.
PS0YX|oh yes yes.
PS03S|and they're cheaper.
PS0YX|we've gone back to the others though now yes we get.
PS03S|and they're cheaper buying them like that.
PS03T|ooh cheaper buying them in a hundred weight bag.
PS0YX|oh of course they are yes yes.
PS03S|oh we'll bring you bag.
PS03T|no he doesn't er he doesn't eat so many.
PS0YX|yes.
PS03T|cos they don't keep do they.
PS0YX|no no.
PS03T|no.
PS03S|whatd' ya reckon the idea of that was.
PS03T|oh to make a bit of money.
PS0YX|yes yes it was very good that very nice.
PS03T|not bad are they.
PS0YX|yeah.
PS03S|it's surprising how it looks from the.
PS0YX|oh yes.
PS03S|you know even I say to Evelyn when I was watering I said.
PS03T|er as if it was if you've got a picture of your gardening it'd be nice wouldn't it.
PS0YX|yes yeah yeah.
PS03S|did you see.
PS03T|mind you might might of taken some because say they took some in Valentine down there.
PS0YX|yes yeah yeah.
PS03S|he seemed to think he's the er he were doing it to sell them.
PS03T|oh well he must be.
PS0YX|yes.
PS03T|he said I think people are take er you know.
PS03S|I showed it Tom next door I says er it I says he came and had a drink and to and to see Evelyn and I says look you can tell Oliand and Dog Tongue.
PS0YX|ah yeah yeah.
PS03S|I've often wondered about the other two's gardens it but you can see now can't you.
PS0YX|yes you can can't ya.
PS03S|it don't amount to much does it.
PS0YX|no very good any way.
PS03T|I think yours I'd make a lovely picture.
PS03S|what puzzles me though The Gables.
PS0YX|yes.
PS03S|paint in blue but they're blue.
PS0YX|yeah.
PS03T|well it's just the light on the picture isn't it really.
PS0YX|yes that's right any way I shoot off and as I say hope you'll soon be a bit better both of you.
PS03S|oh yeah.
PS03T|I've just got this sore throat and.
PS03S|throat and that.
PS0YX|I'll er.
PS03T|but er.
PS03S|just.
PS03T|yeah Bramall Road.
PS03S|bye bye Les.
PS03T|right bye.
